model,recording_period,accuracy,macro_f1
KNN,Q1 earliest,0.75,0.7041283343349822
KNN,Q2,0.63671875,0.5940457312394496
KNN,Q3,0.5471246006389776,0.5453142744047608
KNN,Q4 latest,0.7080838323353293,0.7015281046141015
SVM,Q1 earliest,0.6015625,0.5677496762095461
SVM,Q2,0.587890625,0.549759734603635
SVM,Q3,0.6094249201277955,0.6083031832707939
SVM,Q4 latest,0.812874251497006,0.8111948988705611
